trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.35, 'e': 0.8829999999999999}",35,0,-157.73112591763203,"{0: 21, 1: 4, 2: 6, 3: 3, 4: 1}",0
118,False,"{'a': 0.35, 'e': 0.8819999999999999}",20,7,2.42033991174128,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.35, 'e': 0.8809999999999999}",25,0,-93.76874880512881,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
120,False,"{'a': 0.35, 'e': 0.8799999999999999}",25,0,-44.9665680589558,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.35, 'e': 0.8789999999999999}",25,0,-139.47264756376202,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",1
122,False,"{'a': 0.35, 'e': 0.8779999999999999}",20,0,-59.81773628083135,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
123,False,"{'a': 0.35, 'e': 0.8769999999999999}",20,0,-46.57208613909432,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
124,False,"{'a': 0.35, 'e': 0.8759999999999999}",20,0,-114.29105801655416,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
125,False,"{'a': 0.35, 'e': 0.8749999999999999}",25,0,-106.34299820194349,"{0: 16, 1: 2, 2: 3, 3: 4, 4: 0}",0
126,False,"{'a': 0.35, 'e': 0.8739999999999999}",25,0,-86.38283476174983,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
127,False,"{'a': 0.35, 'e': 0.8729999999999999}",30,0,-229.20562323120578,"{0: 12, 1: 7, 2: 7, 3: 1, 4: 3}",0
128,False,"{'a': 0.35, 'e': 0.8719999999999999}",25,12,-17.317039525499087,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.35, 'e': 0.8709999999999999}",20,0,-83.56409129103093,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
130,False,"{'a': 0.35, 'e': 0.8699999999999999}",20,6,-7.219569227312558,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.35, 'e': 0.8689999999999999}",25,0,-78.26530172290731,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
132,False,"{'a': 0.35, 'e': 0.8679999999999999}",25,0,-172.5460268966772,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
133,False,"{'a': 0.35, 'e': 0.8669999999999999}",25,0,-107.30216869980413,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
134,False,"{'a': 0.35, 'e': 0.8659999999999999}",25,0,-82.81556263201571,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
135,False,"{'a': 0.35, 'e': 0.8649999999999999}",25,0,-96.26969700786285,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
136,False,"{'a': 0.35, 'e': 0.8639999999999999}",30,0,-133.23382918591545,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
137,False,"{'a': 0.35, 'e': 0.8629999999999999}",25,0,-157.01875846672786,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
138,False,"{'a': 0.35, 'e': 0.8619999999999999}",25,0,-64.05318310872222,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
139,False,"{'a': 0.35, 'e': 0.8609999999999999}",35,0,-287.5864074983164,"{0: 20, 1: 1, 2: 6, 3: 4, 4: 4}",0
140,False,"{'a': 0.35, 'e': 0.8599999999999999}",25,0,-67.35897443540766,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
141,False,"{'a': 0.35, 'e': 0.8589999999999999}",20,0,-56.992462808663035,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
142,False,"{'a': 0.35, 'e': 0.8579999999999999}",20,0,-55.4309185911121,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.35, 'e': 0.8569999999999999}",25,0,-135.35834140428761,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
144,False,"{'a': 0.35, 'e': 0.8559999999999999}",25,0,-99.17379336769588,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
145,False,"{'a': 0.35, 'e': 0.8549999999999999}",25,0,-103.98390140760648,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
146,False,"{'a': 0.35, 'e': 0.8539999999999999}",20,0,-140.59858296635426,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
147,False,"{'a': 0.35, 'e': 0.8529999999999999}",20,0,-43.433451134287154,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
148,False,"{'a': 0.35, 'e': 0.8519999999999999}",30,0,-176.78094016043352,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
149,False,"{'a': 0.35, 'e': 0.8509999999999999}",20,0,-159.62060166016474,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
150,False,"{'a': 0.35, 'e': 0.8499999999999999}",30,0,-116.65010469427145,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
151,False,"{'a': 0.35, 'e': 0.8489999999999999}",20,4,-39.74394699220766,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
152,False,"{'a': 0.35, 'e': 0.8479999999999999}",25,15,-11.286768056825881,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.35, 'e': 0.8469999999999999}",20,0,-117.50976906092683,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
154,False,"{'a': 0.35, 'e': 0.8459999999999999}",20,5,-85.98837589839341,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
155,False,"{'a': 0.35, 'e': 0.8449999999999999}",35,0,-45.79701595503061,"{0: 29, 1: 0, 2: 4, 3: 2, 4: 0}",0
156,False,"{'a': 0.35, 'e': 0.8439999999999999}",20,4,-17.869447772916494,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
157,False,"{'a': 0.35, 'e': 0.8429999999999999}",30,0,-178.36213737436026,"{0: 15, 1: 3, 2: 8, 3: 3, 4: 1}",0
158,False,"{'a': 0.35, 'e': 0.8419999999999999}",30,0,-169.3802489466433,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
159,False,"{'a': 0.35, 'e': 0.8409999999999999}",20,0,-66.25266751020789,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
160,False,"{'a': 0.35, 'e': 0.8399999999999999}",25,16,15.596101805729251,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.35, 'e': 0.8389999999999999}",30,0,-118.1438699587677,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",1
162,False,"{'a': 0.35, 'e': 0.8379999999999999}",30,0,-245.06507268081572,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 4}",0
163,False,"{'a': 0.35, 'e': 0.8369999999999999}",25,19,4.085464511923159,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.35, 'e': 0.8359999999999999}",25,20,9.264945069099653,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.35, 'e': 0.8349999999999999}",20,0,-83.89345745542724,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
166,False,"{'a': 0.35, 'e': 0.8339999999999999}",30,5,-52.73814716331131,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",1
167,False,"{'a': 0.35, 'e': 0.8329999999999999}",25,0,-66.53067391364695,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
168,False,"{'a': 0.35, 'e': 0.8319999999999999}",25,0,-128.73171552049018,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
169,False,"{'a': 0.35, 'e': 0.8309999999999998}",25,19,4.292481993352998,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.35, 'e': 0.8299999999999998}",35,3,-193.07741233255143,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 2}",1
171,False,"{'a': 0.35, 'e': 0.8289999999999998}",20,10,7.2741188156937975,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.35, 'e': 0.8279999999999998}",20,8,-11.807242570851177,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
173,False,"{'a': 0.35, 'e': 0.8269999999999998}",20,0,-31.95127558732196,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
174,False,"{'a': 0.35, 'e': 0.8259999999999998}",30,0,-145.50593689146967,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
175,False,"{'a': 0.35, 'e': 0.8249999999999998}",35,0,-26.718548938777488,"{0: 28, 1: 2, 2: 4, 3: 1, 4: 0}",0
176,False,"{'a': 0.35, 'e': 0.8239999999999998}",25,0,-95.88926652682112,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
177,False,"{'a': 0.35, 'e': 0.8229999999999998}",25,7,-186.00688462175347,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 4}",1
178,False,"{'a': 0.35, 'e': 0.8219999999999998}",20,0,-93.05351872449904,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
179,False,"{'a': 0.35, 'e': 0.8209999999999998}",30,14,-31.253843829873098,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.35, 'e': 0.8199999999999998}",25,0,-90.61687556074122,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
181,False,"{'a': 0.35, 'e': 0.8189999999999998}",25,0,-107.5973025942575,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
182,False,"{'a': 0.35, 'e': 0.8179999999999998}",30,0,-214.4100230070585,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
183,False,"{'a': 0.35, 'e': 0.8169999999999998}",20,0,-56.26768683400828,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
184,False,"{'a': 0.35, 'e': 0.8159999999999998}",25,0,-117.49210676960529,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
185,False,"{'a': 0.35, 'e': 0.8149999999999998}",25,0,-111.42775517334236,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
